rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season120	832.0	2578.0	1828.0	361.0	2768.0	5063.0	3560.0	735.0	5174.0	3396.0	2509.0	1281.0	3729.0	810.0	1755.0	1673.0	646.0	1405.0	1162.0	4517.0	1123.0	5141.0	3807.0	719.0	4945.0	11165.0	4805.0	4898.0	3337.0	400.0	1872.0	87993.1	1878649.0	1671209.727034
sub-season121	755.0	2335.0	2490.0	490.0	2830.0	7396.0	3639.0	1336.0	8016.0	3090.0	3779.0	1536.0	4454.0	715.0	1653.0	1295.0	794.0	1238.0	2103.0	5564.0	1223.0	6269.0	4967.0	820.0	4700.0	10310.0	5053.0	5041.0	3441.0	391.0	2071.0	99795.7	2006833.0	1902020.490605
sub-season122	1145.0	2060.0	2055.0	383.0	2976.0	5285.0	3111.0	969.0	5072.0	3269.0	3068.0	1724.0	4029.0	906.0	1673.0	2041.0	723.0	1492.0	1503.0	4601.0	1431.0	4782.0	4987.0	1072.0	5404.0	9603.0	5339.0	5000.0	3609.0	395.0	2115.0	91823.6	1872440.0	1794427.85881
sub-season123	798.0	2420.0	2442.0	318.0	3386.0	5249.0	3535.0	1128.0	5464.0	3378.0	3962.0	1813.0	5010.0	828.0	1735.0	2247.0	943.0	1913.0	1836.0	4670.0	1430.0	4719.0	5087.0	774.0	6122.0	10826.0	5030.0	6031.0	3943.0	474.0	2471.0	99982.6	2044539.0	1853281.972512
sub-season124	595.0	1709.0	1680.0	446.0	2828.0	6191.0	3571.0	746.0	5776.0	2902.0	2876.0	1407.0	4235.0	581.0	1649.0	1297.0	859.0	1366.0	1316.0	4029.0	934.0	3898.0	3832.0	668.0	4307.0	8048.0	4586.0	4842.0	3006.0	352.0	1899.0	82429.6	1795252.0	1681543.710064
sub-season125	680.0	2165.0	1922.0	345.0	2942.0	5535.0	3477.0	782.0	5538.0	2788.0	3348.0	1743.0	4353.0	749.0	1782.0	1658.0	697.0	1577.0	1385.0	4386.0	1161.0	4276.0	4730.0	543.0	4745.0	9460.0	4446.0	5290.0	3381.0	404.0	1954.0	88244.1	1831546.0	1612456.424967
sub-season126	665.0	2270.0	1926.0	293.0	2474.0	5492.0	3747.0	862.0	4444.0	3105.0	3305.0	1576.0	4462.0	672.0	1761.0	1281.0	792.0	1224.0	1609.0	4797.0	1082.0	5292.0	4388.0	676.0	4607.0	9169.0	4325.0	4612.0	3455.0	334.0	1860.0	86554.6	1749591.0	1659864.879575
sub-season127	856.0	2149.0	2130.0	367.0	2906.0	5762.0	3789.0	922.0	5479.0	3175.0	3535.0	1513.0	5000.0	699.0	1584.0	1557.0	782.0	1660.0	1742.0	4637.0	1361.0	4898.0	3852.0	885.0	4813.0	9877.0	4372.0	5053.0	3001.0	371.0	2151.0	90880.4	1919874.0	1781384.489153
sub-season128	579.0	1940.0	2215.0	414.0	2692.0	5192.0	3842.0	898.0	5482.0	2904.0	3342.0	1589.0	4297.0	585.0	1604.0	1658.0	691.0	1588.0	1660.0	4915.0	903.0	4787.0	4429.0	767.0	3745.0	9477.0	4032.0	4758.0	3362.0	436.0	2010.0	86793.3	1704446.0	1646061.979673
sub-season129	650.0	1660.0	1789.0	312.0	2720.0	5332.0	3333.0	760.0	4481.0	2799.0	2818.0	1439.0	3980.0	607.0	1628.0	1788.0	718.0	1323.0	1468.0	4073.0	1211.0	4068.0	3389.0	543.0	3672.0	9112.0	3775.0	4796.0	3101.0	354.0	1933.0	79634.5	1645993.0	1508564.640623
sub-season130	927.0	1845.0	1904.0	415.0	3040.0	5641.0	3603.0	887.0	5785.0	3016.0	2874.0	1368.0	4396.0	780.0	1550.0	1533.0	807.0	1594.0	1524.0	3634.0	1327.0	4557.0	3999.0	816.0	3965.0	8668.0	3832.0	4986.0	2848.0	306.0	2262.0	84687.6	1764883.0	1539840.061463
sub-season131	696.0	2359.0	1824.0	546.0	2783.0	6235.0	3590.0	873.0	5268.0	3521.0	3609.0	1663.0	4595.0	753.0	1855.0	1820.0	880.0	1780.0	1516.0	4608.0	1222.0	4995.0	4008.0	678.0	5107.0	9448.0	4491.0	5042.0	3456.0	425.0	1762.0	91409.0	1929511.0	1780833.56615
sub-season132	565.0	1714.0	1935.0	288.0	2325.0	4331.0	2563.0	617.0	4164.0	2309.0	2628.0	1258.0	3413.0	477.0	1184.0	1416.0	522.0	1301.0	1262.0	3555.0	987.0	3644.0	3868.0	561.0	3296.0	7670.0	3570.0	4031.0	3080.0	339.0	1763.0	70639.0	1468388.0	1437269.594262
sub-season133	816.0	1985.0	1854.0	406.0	2627.0	4962.0	2960.0	844.0	4189.0	2979.0	2825.0	1401.0	3825.0	592.0	1622.0	1407.0	677.0	1683.0	1536.0	4048.0	1401.0	4277.0	3880.0	854.0	4092.0	9462.0	4272.0	4670.0	3007.0	374.0	1998.0	81522.7	1716913.0	1527295.420286
sub-season134	905.0	3071.0	1873.0	716.0	3032.0	5874.0	4102.0	1042.0	5209.0	3299.0	3339.0	1617.0	4784.0	722.0	1650.0	2107.0	771.0	1669.0	1580.0	5008.0	1312.0	5327.0	4172.0	1142.0	4270.0	9024.0	4823.0	5686.0	4030.0	431.0	2067.0	94652.1	1888480.0	1790093.865658
sub-season135	523.0	1777.0	1970.0	430.0	2680.0	4425.0	3947.0	799.0	4375.0	3044.0	2665.0	1555.0	3525.0	634.0	1437.0	1733.0	736.0	1506.0	1255.0	3864.0	905.0	3881.0	4526.0	433.0	3182.0	8589.0	4664.0	4277.0	3375.0	386.0	2077.0	79176.3	1734001.0	1611218.931581
sub-season136	633.0	1885.0	1765.0	270.0	2604.0	5234.0	3294.0	699.0	5377.0	2467.0	2619.0	1142.0	3774.0	690.0	1244.0	2018.0	724.0	1542.0	1012.0	3502.0	875.0	3797.0	3592.0	599.0	3641.0	6937.0	4054.0	4149.0	3077.0	326.0	1800.0	75341.9	1517832.0	1055213.176187
sub-season137	659.0	1863.0	2149.0	318.0	2407.0	4242.0	3161.0	769.0	4814.0	2434.0	3326.0	1341.0	3606.0	571.0	1603.0	1479.0	741.0	1374.0	1705.0	3669.0	997.0	4030.0	4009.0	986.0	3488.0	8649.0	3955.0	4427.0	3159.0	345.0	2054.0	78328.8	1677855.0	1473267.27748
sub-season138	462.0	2076.0	1593.0	309.0	2312.0	4406.0	3131.0	757.0	4934.0	2544.0	2926.0	1162.0	3972.0	633.0	1299.0	1606.0	676.0	1661.0	1114.0	3981.0	959.0	4104.0	3861.0	307.0	3547.0	8828.0	3594.0	4618.0	3221.0	342.0	1824.0	76762.8	1650225.0	1583557.102839
sub-season139	797.0	2176.0	1602.0	534.0	2688.0	6116.0	3491.0	902.0	5278.0	2945.0	2997.0	1544.0	4425.0	678.0	1311.0	1519.0	815.0	1837.0	1352.0	4288.0	1369.0	4325.0	3904.0	1035.0	4436.0	9899.0	5062.0	4761.0	3579.0	387.0	2207.0	88260.1	1800729.0	1603413.675221
sub-season202	815.0	3106.0	2010.0	755.0	3367.0	6354.0	4016.0	946.0	5129.0	3672.0	3181.0	1699.0	4699.0	661.0	2020.0	1585.0	908.0	1481.0	1578.0	5441.0	1482.0	5810.0	5476.0	860.0	4658.0	11520.0	5231.0	6152.0	4355.0	501.0	2434.0	101902.0	2095131.0	1924322.56479
sub-season204	726.0	2345.0	2185.0	391.0	2909.0	4818.0	3121.0	996.0	5423.0	2960.0	3057.0	1482.0	4389.0	638.0	1816.0	1892.0	808.0	1685.0	1526.0	4017.0	1357.0	4198.0	4722.0	753.0	4398.0	9279.0	4464.0	4960.0	3412.0	411.0	2207.0	87345.1	1700123.0	1563402.33921
sub-season206	579.0	1404.0	1538.0	376.0	2575.0	4552.0	3085.0	773.0	4602.0	2156.0	2389.0	1272.0	3967.0	613.0	1300.0	1377.0	583.0	1488.0	1058.0	3910.0	898.0	4279.0	3347.0	537.0	2584.0	7973.0	3894.0	4250.0	3827.0	291.0	2079.0	73556.2	1483635.0	1381952.007729
sub-season207	845.0	1758.0	1771.0	412.0	2826.0	5498.0	3702.0	771.0	4941.0	3137.0	2789.0	1486.0	4626.0	567.0	2056.0	1612.0	854.0	1614.0	1194.0	4949.0	1280.0	4161.0	4305.0	744.0	5106.0	9759.0	4892.0	5748.0	3912.0	427.0	2167.0	89909.4	1918529.0	1635938.248445
sub-season208	559.0	2066.0	1746.0	350.0	2359.0	4770.0	3185.0	757.0	4108.0	2811.0	2793.0	1286.0	3748.0	529.0	1585.0	1425.0	862.0	1762.0	1527.0	4008.0	1188.0	4073.0	3606.0	708.0	3956.0	8694.0	3979.0	4423.0	3027.0	313.0	1897.0	78102.3	1648395.0	1510409.717743
sub-season211	647.0	1951.0	2008.0	378.0	2656.0	4118.0	2854.0	750.0	5020.0	2486.0	2852.0	1479.0	3307.0	591.0	1760.0	1463.0	656.0	1808.0	1533.0	3790.0	1090.0	4145.0	3803.0	759.0	3557.0	8214.0	4392.0	4392.0	2956.0	367.0	1821.0	77601.3	1541125.0	1318768.437228
sub-season212	564.0	1867.0	1719.0	351.0	2239.0	5116.0	3096.0	841.0	4407.0	2908.0	2249.0	1748.0	3859.0	577.0	1364.0	1364.0	781.0	1433.0	1222.0	3865.0	1086.0	4205.0	3828.0	512.0	3748.0	9129.0	3997.0	4531.0	2781.0	307.0	1858.0	77555.0	1567224.0	1437638.547011
sub-season213	968.0	3144.0	2479.0	407.0	3074.0	5758.0	4188.0	1134.0	6708.0	3066.0	3644.0	1476.0	4831.0	642.0	1709.0	2405.0	726.0	1531.0	1855.0	4750.0	1485.0	5207.0	5072.0	783.0	4326.0	9969.0	5183.0	4931.0	4355.0	405.0	2246.0	98455.9	2016460.0	1828603.601019
sub-season214	784.0	1972.0	1738.0	275.0	2445.0	4652.0	3534.0	686.0	4528.0	2944.0	2720.0	1470.0	4084.0	628.0	1652.0	1388.0	673.0	1346.0	1130.0	4079.0	1214.0	3946.0	3960.0	687.0	3990.0	10207.0	4748.0	5090.0	3496.0	385.0	2065.0	82516.2	1776364.0	1560816.551946
sub-season215	1038.0	2563.0	2173.0	560.0	3079.0	5610.0	4567.0	941.0	6788.0	3228.0	2992.0	1692.0	5752.0	716.0	1674.0	1492.0	1049.0	1918.0	1471.0	4896.0	1635.0	4760.0	4895.0	774.0	5268.0	10032.0	4687.0	5472.0	3902.0	325.0	2169.0	98118.8	2004954.0	1897750.703816
sub-season216	623.0	1818.0	1774.0	344.0	2365.0	4560.0	2595.0	763.0	4025.0	2447.0	2708.0	1364.0	3645.0	717.0	1404.0	1253.0	674.0	1268.0	1176.0	3436.0	956.0	3938.0	3212.0	546.0	3493.0	8361.0	3942.0	4088.0	2331.0	276.0	1725.0	71827.7	1682602.0	1572543.232359
sub-season217	809.0	2135.0	1609.0	283.0	2242.0	4062.0	2998.0	774.0	4402.0	2278.0	2577.0	1305.0	3638.0	561.0	1340.0	1585.0	577.0	1287.0	1384.0	3881.0	1181.0	4035.0	3499.0	787.0	3637.0	8235.0	3621.0	4474.0	3081.0	352.0	1877.0	74507.3	1595184.0	1512623.392129
