rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-season129	2306.0	5212.0	4450.0	2055.0	8667.0	16790.0	12407.0	2205.0	12706.0	10151.0	6814.0	4431.0	15378.0	1981.0	4948.0	5751.0	2263.0	4030.0	2167.0	10421.0	3961.0	12622.0	10313.0	1945.0	10641.0	30981.0	10153.0	17795.0	10125.0	1357.0	7141.0	1645993.0	1508564.640623
sub-season130	3157.0	5638.0	4870.0	2321.0	9910.0	17915.0	12319.0	2369.0	17225.0	10576.0	7966.0	4770.0	17153.0	2435.0	4819.0	5645.0	3063.0	5029.0	2638.0	10482.0	4438.0	14951.0	12250.0	2888.0	11450.0	28834.0	10439.0	18688.0	8425.0	965.0	8147.0	1764883.0	1539840.061463
sub-season131	2346.0	6536.0	4190.0	2974.0	9418.0	18423.0	12953.0	2264.0	14016.0	11373.0	8975.0	5366.0	16407.0	2712.0	4984.0	5401.0	3263.0	5137.0	2696.0	10977.0	3495.0	14645.0	11391.0	2485.0	15010.0	30537.0	10869.0	19232.0	9716.0	1364.0	6924.0	1929511.0	1780833.56615
sub-season132	2100.0	5760.0	4936.0	1847.0	8142.0	13872.0	9447.0	1954.0	10922.0	8548.0	7080.0	4596.0	13120.0	1782.0	3759.0	4618.0	1924.0	4641.0	2174.0	9799.0	3132.0	12098.0	11041.0	1996.0	9921.0	26420.0	10052.0	16926.0	9808.0	1356.0	6380.0	1468388.0	1437269.594262
sub-season133	2725.0	6507.0	4002.0	1871.0	8600.0	15630.0	10297.0	2683.0	10847.0	9943.0	7108.0	4683.0	14347.0	1998.0	4967.0	4554.0	2549.0	5222.0	2375.0	11449.0	4135.0	14340.0	10836.0	3045.0	12104.0	32427.0	11996.0	16931.0	9859.0	1285.0	6922.0	1716913.0	1527295.420286
sub-season134	2989.0	9763.0	4385.0	4103.0	10057.0	18249.0	14773.0	3150.0	15919.0	12033.0	8201.0	5234.0	17846.0	2440.0	4918.0	7141.0	3065.0	5318.0	2954.0	12565.0	3913.0	17454.0	12366.0	4152.0	13110.0	32747.0	12506.0	20658.0	12663.0	1384.0	7745.0	1888480.0	1790093.865658
sub-season135	2021.0	6354.0	4958.0	2224.0	8519.0	14392.0	14748.0	2878.0	12740.0	10299.0	7058.0	4803.0	12685.0	2177.0	4566.0	6575.0	2814.0	5099.0	2471.0	9948.0	2847.0	12508.0	13307.0	1612.0	10065.0	29848.0	13986.0	15909.0	11285.0	1320.0	6872.0	1734001.0	1611218.931581
sub-season136	2414.0	5760.0	4370.0	1487.0	8169.0	15862.0	12122.0	2129.0	13488.0	8206.0	5744.0	3410.0	13758.0	2495.0	3597.0	6567.0	2986.0	4737.0	1489.0	7817.0	2776.0	12411.0	10204.0	2519.0	11513.0	24634.0	11669.0	15226.0	10115.0	952.0	6676.0	1517832.0	1055213.176187
sub-season137	2106.0	5659.0	5391.0	1632.0	7974.0	13588.0	12607.0	2443.0	13594.0	8912.0	8766.0	4213.0	13669.0	2172.0	4756.0	5314.0	2557.0	4081.0	2846.0	9282.0	3380.0	12927.0	12082.0	3550.0	11277.0	29187.0	11760.0	16328.0	10700.0	1251.0	7544.0	1677855.0	1473267.27748
sub-season138	1519.0	7037.0	3789.0	1774.0	7779.0	13622.0	12417.0	2138.0	13331.0	10260.0	7784.0	4023.0	15130.0	2318.0	4119.0	5146.0	2498.0	5330.0	1632.0	9877.0	3147.0	13626.0	11672.0	1035.0	11307.0	32257.0	10203.0	18128.0	10758.0	1162.0	6664.0	1650225.0	1583557.102839
sub-season139	2568.0	6507.0	3436.0	2676.0	8612.0	18107.0	12262.0	2567.0	12827.0	9049.0	7760.0	4577.0	15343.0	2396.0	3784.0	4847.0	2856.0	5129.0	2198.0	10227.0	4097.0	13563.0	10920.0	3617.0	12512.0	32258.0	12637.0	17536.0	10250.0	1438.0	7669.0	1800729.0	1603413.675221
sub-season202	2955.0	9882.0	4497.0	4359.0	10982.0	19600.0	15189.0	2777.0	13338.0	13318.0	8235.0	5635.0	17117.0	2142.0	5965.0	5306.0	3427.0	4724.0	2458.0	15108.0	4537.0	19090.0	14810.0	3181.0	14418.0	39041.0	13746.0	22691.0	13556.0	1503.0	8829.0	2095131.0	1924322.56479
sub-season204	2340.0	7268.0	4690.0	1948.0	8916.0	14547.0	11249.0	2910.0	13088.0	9595.0	7004.0	4533.0	14688.0	1979.0	5204.0	5867.0	3095.0	4395.0	2161.0	9489.0	4026.0	12532.0	12170.0	2699.0	12804.0	29688.0	11423.0	17368.0	10321.0	1412.0	7381.0	1700123.0	1563402.33921
sub-season206	2164.0	4576.0	3481.0	1804.0	8657.0	14471.0	11255.0	2307.0	12570.0	7730.0	5583.0	4054.0	15316.0	2249.0	3908.0	4629.0	2196.0	4706.0	1533.0	9589.0	2873.0	13325.0	9555.0	2126.0	8108.0	28300.0	10305.0	15303.0	12589.0	818.0	7037.0	1483635.0	1381952.007729
sub-season207	2775.0	5881.0	3899.0	2070.0	9476.0	16948.0	14035.0	2109.0	13660.0	10581.0	6774.0	4575.0	17059.0	1863.0	6362.0	5372.0	3300.0	4957.0	1948.0	12675.0	4089.0	13335.0	12119.0	2629.0	15869.0	33827.0	13131.0	20975.0	12694.0	1334.0	7638.0	1918529.0	1635938.248445
sub-season208	1647.0	6598.0	4251.0	2097.0	8890.0	15806.0	12839.0	2351.0	12361.0	10512.0	7928.0	4583.0	14850.0	1769.0	4856.0	5102.0	3762.0	5790.0	2473.0	10234.0	4148.0	13727.0	9993.0	2992.0	12981.0	32154.0	11327.0	18559.0	10371.0	1167.0	7048.0	1648395.0	1510409.717743
sub-season211	2259.0	6361.0	5303.0	1710.0	8763.0	12231.0	9478.0	2084.0	13644.0	7532.0	7157.0	4399.0	11438.0	2167.0	5190.0	4591.0	2326.0	5184.0	2373.0	9921.0	3591.0	12962.0	10504.0	2618.0	10814.0	27113.0	12289.0	15234.0	8929.0	1435.0	6193.0	1541125.0	1318768.437228
sub-season212	1840.0	5752.0	3333.0	1758.0	7296.0	15205.0	11038.0	2504.0	11756.0	9247.0	5919.0	5083.0	12939.0	1846.0	4130.0	4390.0	2966.0	3831.0	1996.0	10068.0	3053.0	12746.0	9956.0	1789.0	10984.0	30311.0	10258.0	15929.0	8615.0	1032.0	6130.0	1567224.0	1437638.547011
sub-season213	3070.0	9630.0	6437.0	1887.0	10294.0	17515.0	14396.0	3432.0	20324.0	9477.0	10400.0	4651.0	18441.0	2257.0	4943.0	7305.0	2463.0	4933.0	3454.0	11687.0	4525.0	15745.0	14725.0	2811.0	13652.0	33649.0	13268.0	18671.0	13187.0	1377.0	7753.0	2016460.0	1828603.601019
sub-season214	2869.0	6952.0	4316.0	1750.0	8451.0	14509.0	14203.0	1853.0	12864.0	9233.0	7372.0	4159.0	16031.0	1961.0	5364.0	4704.0	2788.0	4411.0	1977.0	11248.0	3913.0	14250.0	11525.0	2379.0	13093.0	37266.0	14093.0	19682.0	11861.0	1571.0	7289.0	1776364.0	1560816.551946
sub-season215	3556.0	7962.0	4891.0	2394.0	10570.0	17698.0	16735.0	2552.0	20103.0	11244.0	6861.0	5573.0	21643.0	2357.0	4963.0	4890.0	3727.0	5130.0	2428.0	12140.0	4994.0	14555.0	12618.0	2754.0	15702.0	33871.0	12840.0	18884.0	11452.0	1064.0	7938.0	2004954.0	1897750.703816
sub-season216	1838.0	6009.0	4233.0	1957.0	7642.0	14242.0	9251.0	2252.0	11039.0	8365.0	7207.0	4072.0	14384.0	2292.0	4207.0	4188.0	2398.0	3826.0	1979.0	8858.0	3009.0	13058.0	9655.0	1915.0	10864.0	28747.0	11463.0	15302.0	8194.0	886.0	6403.0	1682602.0	1572543.232359
sub-season217	2973.0	6275.0	3602.0	1534.0	7983.0	12400.0	11292.0	2227.0	11044.0	7704.0	6210.0	4290.0	13349.0	1845.0	4040.0	5083.0	2058.0	3789.0	2854.0	9892.0	3599.0	12609.0	9716.0	2766.0	10500.0	26553.0	9912.0	16764.0	9597.0	1026.0	6812.0	1595184.0	1512623.392129
