rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-season111	2871.0	6948.0	4086.0	2399.0	9997.0	16676.0	14898.0	2732.0	11980.0	9775.0	7781.0	4559.0	15788.0	2336.0	5238.0	4728.0	2515.0	4758.0	2973.0	12185.0	4193.0	16374.0	12426.0	2386.0	11784.0	30363.0	13136.0	17317.0	11288.0	1066.0	7177.0	1899669.0	1839944.701833
sub-season112	3123.0	8890.0	4412.0	2579.0	7794.0	17919.0	15071.0	2554.0	13388.0	8841.0	8095.0	4477.0	16007.0	2492.0	4568.0	5021.0	3069.0	4386.0	3030.0	12608.0	4331.0	17615.0	12579.0	2788.0	12391.0	28988.0	13024.0	17801.0	11174.0	1316.0	6892.0	1991731.0	1866319.603862
sub-season114	2243.0	6323.0	3788.0	1683.0	8712.0	19273.0	9955.0	2076.0	13152.0	8710.0	5955.0	5036.0	15414.0	1767.0	4727.0	5362.0	2590.0	2832.0	1415.0	10258.0	3548.0	14601.0	10939.0	1911.0	10263.0	31374.0	11336.0	16133.0	9660.0	1041.0	6416.0	1594501.0	1463036.570722
sub-season116	1661.0	6871.0	4626.0	1778.0	9381.0	19459.0	10174.0	3132.0	12762.0	8875.0	8769.0	4329.0	16975.0	1893.0	4059.0	5946.0	2486.0	6160.0	3179.0	11477.0	3855.0	13503.0	11510.0	2078.0	13501.0	34378.0	10909.0	16809.0	9123.0	963.0	7596.0	1853772.0	1647607.876188
sub-season117	3407.0	6687.0	3813.0	2650.0	8687.0	15099.0	16308.0	2347.0	13870.0	10379.0	7311.0	4503.0	13617.0	2796.0	6495.0	4906.0	3130.0	4597.0	2168.0	12344.0	5130.0	17603.0	11344.0	3427.0	13923.0	33625.0	12482.0	21433.0	12478.0	1407.0	7034.0	2020812.0	1881811.932601
sub-season119	2610.0	6509.0	4417.0	2368.0	8452.0	16292.0	12882.0	2065.0	14158.0	9221.0	6422.0	4936.0	15567.0	2273.0	4857.0	3975.0	2115.0	3698.0	2424.0	10379.0	3718.0	12905.0	10780.0	2008.0	11081.0	29809.0	11105.0	19795.0	11438.0	1199.0	7051.0	1670736.0	1562273.317563
sub-season120	2522.0	8024.0	4789.0	1945.0	9034.0	15739.0	12268.0	2300.0	14726.0	10833.0	7091.0	4485.0	12812.0	2543.0	5195.0	4974.0	2192.0	4893.0	2192.0	11700.0	3664.0	17087.0	11393.0	2792.0	14375.0	38628.0	13472.0	17110.0	10462.0	1502.0	6672.0	1868388.0	1666242.769937
sub-season121	2627.0	7621.0	6257.0	2560.0	9410.0	22133.0	13186.0	4367.0	22318.0	10414.0	9482.0	4855.0	16461.0	2689.0	5217.0	3752.0	3090.0	3821.0	3505.0	14092.0	3899.0	19118.0	14131.0	2814.0	14194.0	35029.0	14081.0	18052.0	11000.0	1463.0	7360.0	2013998.0	1888531.516722
sub-season122	3745.0	6778.0	4892.0	2196.0	11161.0	16892.0	12865.0	2874.0	13781.0	11945.0	7548.0	5379.0	14834.0	3034.0	4930.0	6138.0	2853.0	4499.0	2565.0	12394.0	4698.0	15368.0	14101.0	3873.0	15111.0	34168.0	14125.0	19156.0	11211.0	1435.0	7492.0	1875626.0	1800090.211769
sub-season123	1973.0	7627.0	5652.0	1665.0	11233.0	15670.0	12663.0	3144.0	14310.0	11038.0	9524.0	4636.0	18820.0	2151.0	4977.0	6803.0	3231.0	5361.0	3055.0	11625.0	3964.0	14567.0	13590.0	2471.0	18210.0	34947.0	14137.0	21787.0	12238.0	1454.0	8415.0	2050727.0	1859570.015429
sub-season124	2268.0	5444.0	4679.0	2169.0	11079.0	20689.0	13524.0	2375.0	17313.0	10479.0	8063.0	4513.0	17589.0	2403.0	5282.0	4214.0	3351.0	5020.0	2244.0	11773.0	3206.0	13112.0	11879.0	2508.0	14448.0	30297.0	13860.0	19200.0	10520.0	1242.0	7624.0	1800721.0	1690908.580525
sub-season125	2634.0	7255.0	4503.0	1993.0	10432.0	18211.0	13664.0	2500.0	16056.0	9563.0	8545.0	5559.0	16846.0	2122.0	5344.0	5917.0	2831.0	4814.0	2428.0	12600.0	3887.0	14386.0	13895.0	2479.0	15499.0	31965.0	12487.0	20660.0	10732.0	1309.0	7102.0	1832870.0	1608718.911125
sub-season126	2344.0	7332.0	4362.0	1364.0	7886.0	16745.0	13986.0	2774.0	11701.0	9791.0	9687.0	5351.0	14910.0	2255.0	5316.0	3776.0	3177.0	3264.0	2623.0	12927.0	3434.0	15500.0	12379.0	2502.0	13771.0	30136.0	10946.0	15611.0	10302.0	983.0	6771.0	1740868.0	1664326.550661
sub-season127	2962.0	7413.0	5438.0	1788.0	9912.0	19650.0	14402.0	2942.0	14849.0	10944.0	9481.0	5671.0	18017.0	2159.0	4944.0	5248.0	3193.0	5201.0	2567.0	12907.0	4377.0	16099.0	11962.0	3047.0	14749.0	34571.0	12509.0	18728.0	9628.0	1428.0	7378.0	1922793.0	1788638.710277
