rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season119	685.0	2111.0	1869.0	438.0	2431.0	5367.0	3654.0	698.0	4868.0	2786.0	2539.0	1692.0	4274.0	613.0	1645.0	1358.0	628.0	1240.0	1322.0	4036.0	1113.0	4004.0	3659.0	539.0	3645.0	8781.0	4011.0	4980.0	3550.0	344.0	1994.0	80873.0	1670736.0	1562273.317563
sub-season120	801.0	2542.0	1817.0	385.0	2786.0	5082.0	3505.0	715.0	5266.0	3297.0	2598.0	1431.0	3701.0	795.0	1737.0	1669.0	677.0	1447.0	1215.0	4478.0	1111.0	5045.0	3782.0	756.0	4871.0	11270.0	4821.0	5029.0	3321.0	392.0	1945.0	88288.6	1868388.0	1666242.769937
sub-season121	741.0	2479.0	2452.0	452.0	2995.0	7302.0	3734.0	1398.0	7892.0	2988.0	3802.0	1432.0	4470.0	711.0	1737.0	1279.0	819.0	1273.0	2095.0	5550.0	1236.0	6218.0	5064.0	809.0	4586.0	10445.0	5077.0	5023.0	3404.0	404.0	2109.0	99974.6	2013998.0	1888531.516722
sub-season122	1163.0	2040.0	2029.0	367.0	3098.0	5362.0	3315.0	1024.0	4993.0	3295.0	3074.0	1684.0	4051.0	931.0	1702.0	1872.0	749.0	1552.0	1489.0	4639.0	1382.0	4744.0	4998.0	1041.0	5377.0	9574.0	5314.0	5036.0	3534.0	404.0	2162.0	91994.4	1875626.0	1800090.211769
sub-season123	765.0	2496.0	2419.0	328.0	3510.0	5301.0	3619.0	1163.0	5311.0	3405.0	3950.0	1524.0	5074.0	854.0	1726.0	2214.0	959.0	1872.0	1828.0	4707.0	1444.0	4716.0	5019.0	791.0	6165.0	10718.0	5073.0	6105.0	3887.0	461.0	2455.0	99861.6	2050727.0	1859570.015429
sub-season124	621.0	1761.0	1686.0	430.0	2874.0	6215.0	3620.0	802.0	5587.0	2978.0	2932.0	1369.0	4342.0	575.0	1699.0	1256.0	772.0	1509.0	1296.0	4118.0	921.0	3972.0	3791.0	698.0	4359.0	8080.0	4613.0	4861.0	2975.0	369.0	1960.0	83039.7	1800721.0	1690908.580525
sub-season125	693.0	2216.0	1844.0	317.0	3002.0	5603.0	3570.0	784.0	5368.0	2807.0	3348.0	1578.0	4403.0	738.0	1752.0	1634.0	666.0	1590.0	1360.0	4444.0	1179.0	4293.0	4656.0	733.0	5037.0	9053.0	4362.0	5218.0	3322.0	367.0	1954.0	87888.5	1832870.0	1608718.911125
sub-season126	705.0	2313.0	1882.0	279.0	2427.0	5514.0	3706.0	895.0	4342.0	2882.0	3249.0	1546.0	4500.0	633.0	1731.0	1253.0	799.0	1183.0	1622.0	4809.0	1147.0	5218.0	4306.0	718.0	4601.0	9151.0	4298.0	4476.0	3398.0	324.0	1887.0	85794.1	1740868.0	1664326.550661
sub-season127	804.0	2114.0	2112.0	329.0	2840.0	5828.0	3801.0	914.0	5466.0	3237.0	3569.0	1581.0	4834.0	671.0	1642.0	1574.0	799.0	1652.0	1745.0	4747.0	1380.0	4820.0	3882.0	837.0	4730.0	9762.0	4264.0	5035.0	3051.0	356.0	2175.0	90550.7	1922793.0	1788638.710277
sub-season128	577.0	1861.0	2275.0	413.0	2710.0	5230.0	3796.0	934.0	5406.0	2865.0	3371.0	1642.0	4250.0	566.0	1610.0	1576.0	673.0	1607.0	1740.0	4902.0	909.0	4746.0	4351.0	793.0	3712.0	9445.0	3964.0	4738.0	3345.0	423.0	2017.0	86446.4	1698582.0	1630272.864062
sub-season129	715.0	1671.0	1782.0	309.0	2782.0	5501.0	3282.0	804.0	4303.0	2899.0	2796.0	1332.0	4005.0	599.0	1651.0	1702.0	706.0	1316.0	1548.0	4174.0	1239.0	4181.0	3281.0	630.0	3901.0	9144.0	3782.0	4792.0	3067.0	327.0	1909.0	80131.0	1648872.0	1500330.289239
sub-season130	981.0	1892.0	1894.0	414.0	3162.0	5840.0	3520.0	924.0	5861.0	3122.0	2826.0	1211.0	4375.0	791.0	1536.0	1557.0	782.0	1593.0	1495.0	3695.0	1386.0	4582.0	4058.0	761.0	4009.0	8735.0	3884.0	4897.0	2847.0	300.0	2276.0	85205.1	1776542.0	1550210.219428
sub-season131	711.0	2284.0	1866.0	520.0	2787.0	6271.0	3637.0	881.0	5198.0	3372.0	3669.0	1504.0	4665.0	799.0	1804.0	1748.0	867.0	1760.0	1538.0	4555.0	1235.0	5017.0	4041.0	653.0	5103.0	9334.0	4511.0	5158.0	3417.0	445.0	1771.0	91120.9	1924837.0	1769658.917433
sub-season132	582.0	1868.0	1912.0	313.0	2275.0	4427.0	2553.0	644.0	4031.0	2288.0	2715.0	1121.0	3327.0	505.0	1140.0	1447.0	535.0	1275.0	1361.0	3591.0	1023.0	3730.0	3863.0	576.0	3380.0	7427.0	3587.0	4138.0	3011.0	305.0	1729.0	70678.9	1468198.0	1438778.843677
sub-season133	752.0	1877.0	1850.0	404.0	2519.0	4872.0	2937.0	830.0	4212.0	3006.0	2940.0	1472.0	3737.0	613.0	1613.0	1422.0	696.0	1630.0	1526.0	4040.0	1297.0	4262.0	3900.0	696.0	3982.0	9692.0	4241.0	4603.0	3085.0	408.0	1955.0	81068.8	1720390.0	1525111.068804
sub-season134	897.0	3037.0	1869.0	710.0	3031.0	5992.0	3972.0	1112.0	5320.0	3334.0	3335.0	1627.0	4864.0	700.0	1668.0	2124.0	715.0	1707.0	1610.0	5018.0	1279.0	5328.0	4175.0	1047.0	4256.0	9042.0	4819.0	5639.0	4013.0	429.0	2129.0	94797.6	1889041.0	1801835.406833
